id,title,price,image_url,description,category,origin_state,artisan_name,inventory_quantity
kashmiri_saffron_1g,Kashmiri Saffron - 1g Pouch,85000,https://images.unsplash.com/photo-1595855759920-86582396756a?w=400,Pure Kashmiri saffron (Mongra). GI tagged. Hand-harvested.,spices,Jammu and Kashmir,Gulam Nabi,100
kerala_cardamom_100g,Kerala Green Cardamom - 100g,12000,https://images.unsplash.com/photo-1595855759920-86582396756a?w=400,Alleppey green cardamom. Aromatic and full-bodied.,spices,Kerala,Thomas Mathew,80
guntur_chili_250g,Guntur Red Chili Powder - 250g,4500,https://images.unsplash.com/photo-1595855759920-86582396756a?w=400,Guntur S4 chili. Deep red and pungent. GI tagged.,spices,Andhra Pradesh,Suresh Reddy,120
malabar_pepper_50g,Malabar Pepper - 50g,8000,https://images.unsplash.com/photo-1595855759920-86582396756a?w=400,Single-origin Malabar black pepper. Sun-dried.,spices,Kerala,Rajan Pillai,90
lakadong_turmeric_200g,Lakadong Turmeric - 200g,15000,https://images.unsplash.com/photo-1595855759920-86582396756a?w=400,Meghalaya Lakadong turmeric. High curcumin. GI tagged.,spices,Meghalaya,Donbok Lyngdoh,60
kundan_earrings,Kundan Jhumka Earrings - Gold,18500,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=400,Traditional Kundan jhumkas. Stone and gold foil work.,jewelry,Rajasthan,Prem Devi,15
temple_jewelry_set,Temple Jewelry Set - Necklace and Earrings,42000,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=400,Antique-style temple jewelry. Copper and gold plating.,jewelry,Tamil Nadu,Meenakshi Ammal,12
meenakari_bangle,Meenakari Enamel Bangle - Multicolor,6500,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=400,Hand-painted enamel bangle. Rajasthani meenakari.,jewelry,Rajasthan,Shabana Khan,25
thewa_pendant,Thewa Art Pendant - Glass on Gold,22000,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=400,Thewa pendant - glass fusion on gold. Pratapgarh craft.,jewelry,Rajasthan,Suresh Kumar,18
dokra_bracelet,Dokra Tribal Bracelet,3500,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=400,Lost-wax cast brass bracelet. Tribal design.,jewelry,West Bengal,Buddhu Das,30
madhubani_frame,Madhubani Painting - Small Frame,5500,https://images.unsplash.com/photo-1541961017774-22349e4a1262?w=400,Hand-painted Madhubani on paper. Fish motif. Bihar art.,home_decor,Bihar,Ganga Devi,40
dhokra_elephant,Dhokra Art Elephant - Brass,4200,https://images.unsplash.com/photo-1578749556568-bc2c40e68b61?w=400,Dhokra brass elephant. Lost-wax casting. Tribal art.,home_decor,West Bengal,Ramchandra Soren,35
pattachitra_small,Pattachitra Painting - Small,6800,https://images.unsplash.com/photo-1541961017774-22349e4a1262?w=400,Traditional cloth painting from Odisha. Lord Jagannath theme.,home_decor,Odisha,Raghunath Mohapatra,28
warli_canvas,Warli Art Canvas - 12x12,3800,https://images.unsplash.com/photo-1541961017774-22349e4a1262?w=400,Warli tribal art on canvas. Rice paste and natural pigments.,home_decor,Maharashtra,Shantaram Tandel,45
bidri_coaster_set,Bidriware Coaster Set - 4 pcs,2900,https://images.unsplash.com/photo-1610701596007-11502861dcfa?w=400,Bidri metal inlay coasters. Zinc and copper alloy.,home_decor,Karnataka,Abdul Razzak,50
